participant,trial,video_id,skill_level,tool,mAP50,mAP75,mAP50_95,precision,recall,f1,frames,method
P2,2,P2.2,novice,viscoelastic cannula,0.7528,0.3933,0.4213,0.7528,0.7528,0.7528,89,SAM3_sequential
P2,2,P2.2,novice,OVERALL,0.4548,0.304,0.2732,0.3004,0.6974,0.42,912,SAM3_sequential
P2,3,P2.3,novice,capsulorhexis_forceps,0.1745,0.0991,0.0915,0.1745,0.1745,0.1745,212,SAM3_sequential
P2,3,P2.3,novice,cystotome needle,0.9677,0.5699,0.5516,0.9677,0.9677,0.9677,186,SAM3_sequential
P2,3,P2.3,novice,diamond keratome iso,0.4545,0.2929,0.2758,0.4545,0.4545,0.4545,99,SAM3_sequential
P2,3,P2.3,novice,diamond keratome straight,0.9231,0.0769,0.3846,0.9231,0.9231,0.9231,13,SAM3_sequential
P2,3,P2.3,novice,viscoelastic cannula,0.8727,0.4,0.4509,0.8727,0.8727,0.8727,55,SAM3_sequential
P2,3,P2.3,novice,OVERALL,0.561,0.3216,0.3171,0.388,0.5689,0.4613,566,SAM3_sequential
P2,4,P2.4,novice,capsulorhexis_forceps,0.9014,0.7133,0.6163,0.9014,0.9014,0.9014,436,SAM3_sequential
P2,4,P2.4,novice,cystotome needle,0.9741,0.6207,0.556,0.9741,0.9741,0.9741,116,SAM3_sequential
P2,4,P2.4,novice,diamond keratome iso,0.8955,0.1493,0.3582,0.8955,0.8955,0.8955,67,SAM3_sequential
P2,4,P2.4,novice,diamond keratome straight,0.0909,0.0909,0.0727,0.0909,0.0909,0.0909,11,SAM3_sequential
P2,4,P2.4,novice,forceps,0.9672,0.4918,0.5164,0.9672,0.9672,0.9672,61,SAM3_sequential
P2,4,P2.4,novice,viscoelastic cannula,0.875,0.275,0.4,0.875,0.875,0.875,40,SAM3_sequential
P2,4,P2.4,novice,OVERALL,0.9097,0.5986,0.5582,0.9042,0.9042,0.9042,720,SAM3_sequential
P2,5,P2.5,novice,capsulorhexis_forceps,0.9954,0.922,0.7628,0.9954,0.9954,0.9954,218,SAM3_sequential
P2,5,P2.5,novice,cystotome needle,0.9847,0.7863,0.6702,0.9847,0.9847,0.9847,131,SAM3_sequential
P2,5,P2.5,novice,diamond keratome iso,0.7571,0.6286,0.4886,0.7571,0.7571,0.7571,70,SAM3_sequential
P2,5,P2.5,novice,diamond keratome straight,0.75,0.15,0.28,0.75,0.75,0.75,20,SAM3_sequential
P2,5,P2.5,novice,forceps,0.2174,0.1652,0.1391,0.2174,0.2174,0.2174,115,SAM3_sequential
P2,5,P2.5,novice,viscoelastic cannula,0.622,0.5854,0.4268,0.622,0.622,0.622,82,SAM3_sequential
P2,5,P2.5,novice,OVERALL,0.6181,0.5447,0.4499,0.5426,0.768,0.636,558,SAM3_sequential
P3,1,P3.1,novice,capsulorhexis_forceps,0.9351,0.8084,0.6714,0.9351,0.9351,0.9351,308,SAM3_sequential
P3,1,P3.1,novice,cystotome needle,0.1492,0.0608,0.0724,0.1492,0.1492,0.1492,181,SAM3_sequential
P3,1,P3.1,novice,diamond keratome iso,0.98,0.82,0.625,0.98,0.98,0.98,100,SAM3_sequential
P3,1,P3.1,novice,diamond keratome straight,0.7692,0.2308,0.3692,0.7692,0.7692,0.7692,13,SAM3_sequential
P3,1,P3.1,novice,forceps,1.0,0.9792,0.8271,1.0,1.0,1.0,48,SAM3_sequential
P3,1,P3.1,novice,viscoelastic cannula,0.9583,0.4583,0.5167,0.9583,0.9583,0.9583,48,SAM3_sequential
P3,1,P3.1,novice,OVERALL,0.7373,0.5924,0.5016,0.7407,0.7407,0.7407,687,SAM3_sequential
P3,2,P3.2,novice,capsulorhexis_forceps,0.9513,0.6903,0.6111,0.9513,0.9513,0.9513,226,SAM3_sequential
P3,2,P3.2,novice,cystotome needle,0.9505,0.5,0.5228,0.9505,0.9505,0.9505,202,SAM3_sequential
P3,2,P3.2,novice,diamond keratome iso,0.3396,0.2264,0.2,0.3396,0.3396,0.3396,53,SAM3_sequential
P3,2,P3.2,novice,diamond keratome straight,0.7143,0.0952,0.2524,0.7143,0.7143,0.7143,42,SAM3_sequential
P3,2,P3.2,novice,forceps,0.6106,0.5575,0.4133,0.6106,0.6106,0.6106,113,SAM3_sequential
P3,2,P3.2,novice,viscoelastic cannula,0.9762,0.8333,0.6595,0.9762,0.9762,0.9762,42,SAM3_sequential
P3,2,P3.2,novice,OVERALL,0.8613,0.5613,0.5177,0.8128,0.8776,0.844,595,SAM3_sequential
P3,3,P3.3,novice,capsulorhexis_forceps,0.0096,0.0032,0.0026,0.0096,0.0096,0.0096,311,SAM3_sequential
P3,3,P3.3,novice,cystotome needle,0.0098,0.0098,0.0059,0.0098,0.0098,0.0098,102,SAM3_sequential
P3,3,P3.3,novice,diamond keratome iso,0.8421,0.6316,0.5632,0.8421,0.8421,0.8421,19,SAM3_sequential
P3,3,P3.3,novice,diamond keratome straight,0.0833,0.0833,0.0667,0.0833,0.0833,0.0833,12,SAM3_sequential
P3,3,P3.3,novice,forceps,0.7429,0.3429,0.3686,0.7429,0.7429,0.7429,35,SAM3_sequential
P3,3,P3.3,novice,viscoelastic cannula,0.5526,0.2105,0.2632,0.5526,0.5526,0.5526,38,SAM3_sequential
P3,3,P3.3,novice,OVERALL,0.1198,0.0668,0.0651,0.1315,0.1308,0.1311,505,SAM3_sequential
P3,4,P3.4,novice,capsulorhexis_forceps,0.9104,0.5986,0.5581,0.9104,0.9104,0.9104,279,SAM3_sequential
P3,4,P3.4,novice,cystotome needle,0.9766,0.5625,0.5656,0.9766,0.9766,0.9766,128,SAM3_sequential
P3,4,P3.4,novice,diamond keratome iso,0.9792,0.625,0.5333,0.9792,0.9792,0.9792,48,SAM3_sequential
P3,4,P3.4,novice,diamond keratome straight,0.75,0.0,0.275,0.75,0.75,0.75,16,SAM3_sequential
P3,4,P3.4,novice,forceps,0.9608,0.9216,0.7647,0.9608,0.9608,0.9608,51,SAM3_sequential
P3,4,P3.4,novice,viscoelastic cannula,0.8065,0.4839,0.4419,0.8065,0.8065,0.8065,31,SAM3_sequential
P3,4,P3.4,novice,OVERALL,0.9274,0.5996,0.5622,0.9259,0.9259,0.9259,537,SAM3_sequential
P3,5,P3.5,novice,capsulorhexis_forceps,0.9505,0.7327,0.6441,0.9505,0.9505,0.9505,202,SAM3_sequential
P3,5,P3.5,novice,cystotome needle,0.8824,0.4454,0.4908,0.8824,0.8824,0.8824,119,SAM3_sequential
P3,5,P3.5,novice,diamond keratome iso,0.9556,0.6444,0.5467,0.9556,0.9556,0.9556,45,SAM3_sequential
P3,5,P3.5,novice,diamond keratome straight,0.8462,0.0769,0.2308,0.8462,0.8462,0.8462,13,SAM3_sequential
P3,5,P3.5,novice,forceps,0.8837,0.4419,0.4488,0.8837,0.8837,0.8837,43,SAM3_sequential
P3,5,P3.5,novice,viscoelastic cannula,0.4857,0.2286,0.2486,0.4857,0.4857,0.4857,35,SAM3_sequential
P3,5,P3.5,novice,OVERALL,0.8874,0.5687,0.5365,0.8884,0.8884,0.8884,444,SAM3_sequential
P4,1,P4.1,novice,capsulorhexis_forceps,0.9746,0.8297,0.6812,0.9746,0.9746,0.9746,276,SAM3_sequential
P4,1,P4.1,novice,cystotome needle,0.8657,0.2226,0.3548,0.8657,0.8657,0.8657,283,SAM3_sequential
P4,1,P4.1,novice,diamond keratome iso,0.775,0.325,0.3925,0.775,0.775,0.775,40,SAM3_sequential
P4,1,P4.1,novice,diamond keratome straight,0.8438,0.5312,0.4656,0.8438,0.8438,0.8438,32,SAM3_sequential
P4,1,P4.1,novice,forceps,0.3137,0.3039,0.1941,0.3137,0.3137,0.3137,102,SAM3_sequential
P4,1,P4.1,novice,viscoelastic cannula,0.4875,0.2,0.2225,0.4875,0.4875,0.4875,80,SAM3_sequential
P4,1,P4.1,novice,OVERALL,0.7895,0.4507,0.4394,0.72,0.7909,0.7538,741,SAM3_sequential
P4,2,P4.2,novice,capsulorhexis_forceps,0.9758,0.8656,0.7237,0.9758,0.9758,0.9758,372,SAM3_sequential
P4,2,P4.2,novice,cystotome needle,0.8247,0.2597,0.4006,0.8247,0.8247,0.8247,154,SAM3_sequential
P4,2,P4.2,novice,diamond keratome iso,1.0,0.1852,0.3889,1.0,1.0,1.0,27,SAM3_sequential
P4,2,P4.2,novice,diamond keratome straight,0.5526,0.1053,0.2184,0.5526,0.5526,0.5526,38,SAM3_sequential
P4,2,P4.2,novice,forceps,0.3939,0.2626,0.2283,0.3939,0.3939,0.3939,99,SAM3_sequential
P4,2,P4.2,novice,viscoelastic cannula,0.4865,0.1351,0.2162,0.4865,0.4865,0.4865,37,SAM3_sequential
P4,2,P4.2,novice,OVERALL,0.8184,0.5789,0.5374,0.7788,0.8184,0.7981,662,SAM3_sequential
P4,3,P4.3,novice,capsulorhexis_forceps,0.9755,0.8563,0.7165,0.9755,0.9755,0.9755,327,SAM3_sequential
P4,3,P4.3,novice,cystotome needle,0.8898,0.6457,0.5559,0.8898,0.8898,0.8898,127,SAM3_sequential
P4,3,P4.3,novice,diamond keratome iso,1.0,0.7059,0.6118,1.0,1.0,1.0,34,SAM3_sequential
P4,3,P4.3,novice,diamond keratome straight,0.5152,0.1515,0.2455,0.5152,0.5152,0.5152,33,SAM3_sequential
P4,3,P4.3,novice,forceps,0.0543,0.0109,0.0239,0.0543,0.0543,0.0543,92,SAM3_sequential
P4,3,P4.3,novice,viscoelastic cannula,0.8776,0.1837,0.3837,0.8776,0.8776,0.8776,49,SAM3_sequential
P4,3,P4.3,novice,OVERALL,0.8147,0.6366,0.555,0.7427,0.8021,0.7712,595,SAM3_sequential
P4,4,P4.4,novice,capsulorhexis_forceps,0.3088,0.2868,0.2599,0.3088,0.3088,0.3088,272,SAM3_sequential
P4,4,P4.4,novice,cystotome needle,0.8391,0.2644,0.3759,0.8391,0.8391,0.8391,87,SAM3_sequential
P4,4,P4.4,novice,diamond keratome iso,0.9815,0.9259,0.7944,0.9815,0.9815,0.9815,54,SAM3_sequential
P4,4,P4.4,novice,diamond keratome straight,0.44,0.08,0.12,0.44,0.44,0.44,25,SAM3_sequential
P4,4,P4.4,novice,forceps,0.0549,0.022,0.0242,0.0549,0.0549,0.0549,91,SAM3_sequential
P4,4,P4.4,novice,viscoelastic cannula,0.8788,0.697,0.6152,0.8788,0.8788,0.8788,33,SAM3_sequential
P4,4,P4.4,novice,OVERALL,0.3958,0.2591,0.2592,0.4222,0.4537,0.4374,492,SAM3_sequential
P4,5,P4.5,novice,capsulorhexis_forceps,0.984,0.776,0.7024,0.984,0.984,0.984,250,SAM3_sequential
P4,5,P4.5,novice,cystotome needle,0.9759,0.6627,0.5675,0.9759,0.9759,0.9759,83,SAM3_sequential
P4,5,P4.5,novice,diamond keratome iso,0.9744,0.7436,0.5949,0.9744,0.9744,0.9744,39,SAM3_sequential
P4,5,P4.5,novice,diamond keratome straight,0.8333,0.1667,0.2944,0.8333,0.8333,0.8333,18,SAM3_sequential
P4,5,P4.5,novice,forceps,0.3,0.1429,0.16,0.3,0.3,0.3,70,SAM3_sequential
P4,5,P4.5,novice,viscoelastic cannula,1.0,0.7,0.575,1.0,1.0,1.0,20,SAM3_sequential
P4,5,P4.5,novice,OVERALL,0.9136,0.6659,0.6003,0.8663,0.8771,0.8716,428,SAM3_sequential
P5,1,P5.1,novice,capsulorhexis_forceps,0.7893,0.5249,0.4782,0.7893,0.7893,0.7893,261,SAM3_sequential
P5,1,P5.1,novice,cystotome needle,0.0128,0.0128,0.0115,0.0128,0.0128,0.0128,78,SAM3_sequential
P5,1,P5.1,novice,diamond keratome iso,0.1,0.0,0.01,0.1,0.1,0.1,10,SAM3_sequential
P5,1,P5.1,novice,diamond keratome straight,0.9,0.3,0.3733,0.9,0.9,0.9,30,SAM3_sequential
P5,1,P5.1,novice,forceps,0.011,0.0,0.0011,0.011,0.011,0.011,91,SAM3_sequential
P5,1,P5.1,novice,viscoelastic cannula,0.9333,0.48,0.5107,0.9333,0.9333,0.9333,75,SAM3_sequential
P5,1,P5.1,novice,OVERALL,0.495,0.3134,0.2926,0.4935,0.5406,0.516,505,SAM3_sequential
P5,2,P5.2,novice,capsulorhexis_forceps,0.8883,0.3883,0.4568,0.8883,0.8883,0.8883,206,SAM3_sequential
P5,2,P5.2,novice,cystotome needle,0.0111,0.0111,0.0078,0.0111,0.0111,0.0111,90,SAM3_sequential
P5,2,P5.2,novice,diamond keratome iso,0.8095,0.0476,0.3333,0.8095,0.8095,0.8095,21,SAM3_sequential
P5,2,P5.2,novice,diamond keratome straight,0.8235,0.1765,0.3088,0.8235,0.8235,0.8235,34,SAM3_sequential
P5,2,P5.2,novice,forceps,0.0842,0.0211,0.0411,0.0842,0.0842,0.0842,95,SAM3_sequential
P5,2,P5.2,novice,viscoelastic cannula,0.8529,0.4412,0.4574,0.8529,0.8529,0.8529,68,SAM3_sequential
P5,2,P5.2,novice,OVERALL,0.5212,0.2184,0.2614,0.5069,0.5684,0.5359,459,SAM3_sequential
P5,3,P5.3,novice,capsulorhexis_forceps,0.9086,0.3314,0.412,0.9086,0.9086,0.9086,175,SAM3_sequential
P5,3,P5.3,novice,cystotome needle,0.4805,0.026,0.1377,0.4805,0.4805,0.4805,77,SAM3_sequential
P5,3,P5.3,novice,diamond keratome iso,0.0909,0.0909,0.0727,0.0909,0.0909,0.0909,11,SAM3_sequential
P5,3,P5.3,novice,diamond keratome straight,0.8667,0.0,0.2933,0.8667,0.8667,0.8667,30,SAM3_sequential
P5,3,P5.3,novice,forceps,0.0353,0.0,0.0129,0.0353,0.0353,0.0353,85,SAM3_sequential
P5,3,P5.3,novice,viscoelastic cannula,0.5821,0.2388,0.2612,0.5821,0.5821,0.5821,67,SAM3_sequential
P5,3,P5.3,novice,OVERALL,0.5866,0.1813,0.2483,0.5057,0.6,0.5488,404,SAM3_sequential
P5,4,P5.4,novice,capsulorhexis_forceps,0.0042,0.0,0.0013,0.0042,0.0042,0.0042,237,SAM3_sequential
P5,4,P5.4,novice,cystotome needle,0.6452,0.2419,0.2952,0.6452,0.6452,0.6452,62,SAM3_sequential
P5,4,P5.4,novice,diamond keratome iso,0.8889,0.4444,0.4444,0.8889,0.8889,0.8889,9,SAM3_sequential
P5,4,P5.4,novice,diamond keratome straight,0.8333,0.4667,0.4367,0.8333,0.8333,0.8333,30,SAM3_sequential
P5,4,P5.4,novice,forceps,0.1205,0.012,0.0554,0.1205,0.1205,0.1205,83,SAM3_sequential
P5,4,P5.4,novice,viscoelastic cannula,0.9697,0.5758,0.5682,0.9697,0.9697,0.9697,66,SAM3_sequential
P5,4,P5.4,novice,OVERALL,0.2149,0.0869,0.1038,0.2667,0.2954,0.2803,449,SAM3_sequential
P5,5,P5.5,novice,capsulorhexis forceps,0.9486,0.4953,0.5056,0.9486,0.9486,0.9486,214,SAM3_sequential
P5,5,P5.5,novice,cystotome needle,0.8824,0.2745,0.3667,0.8824,0.8824,0.8824,51,SAM3_sequential
P5,5,P5.5,novice,diamond keratome iso,0.8571,0.4286,0.425,0.8571,0.8571,0.8571,28,SAM3_sequential
P5,5,P5.5,novice,diamond keratome straight,0.9714,0.7143,0.56,0.9714,0.9714,0.9714,35,SAM3_sequential
P5,5,P5.5,novice,forceps,0.0213,0.0106,0.0085,0.0213,0.0213,0.0213,94,SAM3_sequential
P5,5,P5.5,novice,viscoelastic cannula,0.9833,0.7833,0.6967,0.9833,0.9833,0.9833,60,SAM3_sequential
P5,5,P5.5,novice,OVERALL,0.8037,0.4451,0.4414,0.6834,0.7614,0.7203,419,SAM3_sequential
P1,1,P1.1,expert,capsulorhexis forceps,0.0032,0.0,0.0004,0.0909,0.0138,0.0239,218,YOLO26
P1,1,P1.1,expert,cystotome needle,0.0,0.0,0.0,0.0,0.0,0.0,136,YOLO26
P1,1,P1.1,expert,diamond keratome iso,0.0345,0.0,0.0069,1.0,0.0345,0.0667,29,YOLO26
P1,1,P1.1,expert,diamond keratome straight,0.0,0.0,0.0,0.0,0.0,0.0,50,YOLO26
P1,1,P1.1,expert,forceps,0.2358,0.0101,0.0619,0.8039,0.2697,0.4039,152,YOLO26
P1,1,P1.1,expert,viscoelastic cannula,0.0,0.0,0.0,0.0,0.0,0.0,77,YOLO26
P1,1,P1.1,expert,OVERALL,0.0495,0.0028,0.0131,0.5631,0.0876,0.1516,583,YOLO26
P1,2,P1.2,expert,capsulorhexis forceps,0.0546,0.025,0.0254,0.52,0.0747,0.1307,174,YOLO26
P1,2,P1.2,expert,cystotome needle,0.0,0.0,0.0,0.0,0.0,0.0,111,YOLO26
P1,2,P1.2,expert,diamond keratome iso,0.0,0.0,0.0,0.0,0.0,0.0,18,YOLO26
P1,2,P1.2,expert,diamond keratome straight,0.0,0.0,0.0,0.0,0.0,0.0,41,YOLO26
P1,2,P1.2,expert,forceps,0.0,0.0,0.0,0.0,0.0,0.0,111,YOLO26
P1,2,P1.2,expert,viscoelastic cannula,0.0,0.0,0.0,0.0,0.0,0.0,37,YOLO26
P1,2,P1.2,expert,OVERALL,0.0172,0.0083,0.0082,0.4815,0.0264,0.0501,433,YOLO26
P1,3,P1.3,expert,capsulorhexis forceps,0.3487,0.1202,0.154,0.8667,0.3611,0.5098,180,YOLO26
P1,3,P1.3,expert,cystotome needle,0.0,0.0,0.0,0.0,0.0,0.0,127,YOLO26
P1,3,P1.3,expert,diamond keratome iso,0.0,0.0,0.0,0.0,0.0,0.0,42,YOLO26
P1,3,P1.3,expert,diamond keratome straight,0.0,0.0,0.0,0.0,0.0,0.0,88,YOLO26
P1,3,P1.3,expert,forceps,0.0119,0.0013,0.0052,0.2,0.0247,0.044,162,YOLO26
P1,3,P1.3,expert,viscoelastic cannula,0.0976,0.0976,0.0689,1.0,0.0976,0.1778,41,YOLO26
P1,3,P1.3,expert,OVERALL,0.1224,0.0368,0.0501,0.8137,0.1297,0.2237,510,YOLO26
P1,4,P1.4,expert,capsulorhexis forceps,0.3383,0.1064,0.1494,0.9412,0.3441,0.5039,279,YOLO26
P1,4,P1.4,expert,cystotome needle,0.0,0.0,0.0,0.0,0.0,0.0,60,YOLO26
P1,4,P1.4,expert,diamond keratome iso,0.0,0.0,0.0,0.0,0.0,0.0,35,YOLO26
P1,4,P1.4,expert,diamond keratome straight,0.0,0.0,0.0,0.0,0.0,0.0,51,YOLO26
P1,4,P1.4,expert,forceps,0.0201,0.0201,0.0129,0.6,0.0265,0.0508,113,YOLO26
P1,4,P1.4,expert,viscoelastic cannula,0.2,0.2,0.1769,1.0,0.2,0.3333,40,YOLO26
P1,4,P1.4,expert,OVERALL,0.1941,0.072,0.0906,0.9421,0.1972,0.3262,492,YOLO26
P1,5,P1.5,expert,capsulorhexis forceps,0.1686,0.0208,0.0616,0.8095,0.1771,0.2906,192,YOLO26
P1,5,P1.5,expert,cystotome needle,0.0,0.0,0.0,0.0,0.0,0.0,99,YOLO26
P1,5,P1.5,expert,diamond keratome iso,0.0,0.0,0.0,0.0,0.0,0.0,53,YOLO26
P1,5,P1.5,expert,diamond keratome straight,0.0444,0.0,0.0067,0.6667,0.0444,0.0833,45,YOLO26
P1,5,P1.5,expert,forceps,0.0956,0.0576,0.0583,0.7143,0.1136,0.1961,132,YOLO26
P1,5,P1.5,expert,viscoelastic cannula,0.1667,0.1667,0.1583,1.0,0.1667,0.2857,30,YOLO26
P1,5,P1.5,expert,OVERALL,0.1148,0.0282,0.0481,0.8354,0.1198,0.2095,453,YOLO26
P2,1,P2.1,novice,capsulorhexis forceps,0.7489,0.6485,0.5636,0.9725,0.7524,0.8484,517,YOLO26
P2,1,P2.1,novice,cystotome needle,0.896,0.644,0.5756,0.9795,0.9052,0.9409,211,YOLO26
P2,1,P2.1,novice,diamond keratome iso,0.5063,0.4039,0.3855,1.0,0.5063,0.6723,79,YOLO26
P2,1,P2.1,novice,diamond keratome straight,0.5,0.0056,0.1386,0.8333,0.5,0.625,20,YOLO26
P2,1,P2.1,novice,forceps,0.905,0.7592,0.6431,0.9661,0.9194,0.9421,62,YOLO26
P2,1,P2.1,novice,viscoelastic cannula,0.4781,0.06,0.1759,0.9,0.488,0.6328,166,YOLO26
P2,1,P2.1,novice,OVERALL,0.7675,0.5632,0.5176,0.9612,0.7744,0.8577,1032,YOLO26
P2,2,P2.2,novice,capsulorhexis forceps,0.8577,0.7387,0.6238,0.9435,0.868,0.9042,500,YOLO26
P2,2,P2.2,novice,cystotome needle,0.805,0.7289,0.6161,0.9733,0.8066,0.8822,181,YOLO26
P2,2,P2.2,novice,diamond keratome iso,0.9033,0.7082,0.6987,0.9348,0.9053,0.9198,95,YOLO26
P2,2,P2.2,novice,diamond keratome straight,0.6977,0.4338,0.4319,1.0,0.6977,0.8219,43,YOLO26
P2,2,P2.2,novice,forceps,0.8207,0.2814,0.3732,0.8393,0.8246,0.8319,57,YOLO26
P2,2,P2.2,novice,viscoelastic cannula,0.6952,0.6008,0.5533,0.9538,0.6966,0.8052,89,YOLO26
P2,2,P2.2,novice,OVERALL,0.834,0.6818,0.6029,0.9442,0.8415,0.8899,912,YOLO26
P2,3,P2.3,novice,capsulorhexis forceps,0.9896,0.8334,0.7677,0.9767,0.9906,0.9836,212,YOLO26
P2,3,P2.3,novice,cystotome needle,0.898,0.8093,0.7031,0.9767,0.8984,0.9359,187,YOLO26
P2,3,P2.3,novice,diamond keratome iso,0.9195,0.8412,0.7457,0.9787,0.92,0.9485,100,YOLO26
P2,3,P2.3,novice,diamond keratome straight,0.9231,0.5405,0.5086,0.9231,0.9231,0.9231,13,YOLO26
P2,3,P2.3,novice,viscoelastic cannula,0.901,0.7608,0.6516,0.9434,0.9091,0.9259,55,YOLO26
P2,3,P2.3,novice,OVERALL,0.9362,0.8056,0.7176,0.9726,0.9383,0.9551,567,YOLO26
P2,4,P2.4,novice,capsulorhexis forceps,0.9802,0.9257,0.811,0.9868,0.9803,0.9835,457,YOLO26
P2,4,P2.4,novice,cystotome needle,0.8145,0.4383,0.4466,0.8167,0.8448,0.8305,116,YOLO26
P2,4,P2.4,novice,diamond keratome iso,0.9697,0.7931,0.6976,0.9701,0.9701,0.9701,67,YOLO26
P2,4,P2.4,novice,diamond keratome straight,0.9091,0.2078,0.4597,1.0,0.9091,0.9524,11,YOLO26
P2,4,P2.4,novice,forceps,0.9836,0.9412,0.8023,0.9524,0.9836,0.9677,61,YOLO26
P2,4,P2.4,novice,viscoelastic cannula,1.0,0.8703,0.746,1.0,1.0,1.0,40,YOLO26
P2,4,P2.4,novice,OVERALL,0.9574,0.8381,0.7382,0.9562,0.9588,0.9575,741,YOLO26
P2,5,P2.5,novice,capsulorhexis forceps,0.9633,0.9124,0.8149,1.0,0.9633,0.9813,218,YOLO26
P2,5,P2.5,novice,cystotome needle,0.9924,0.9733,0.8535,1.0,0.9924,0.9962,131,YOLO26
P2,5,P2.5,novice,diamond keratome iso,0.7429,0.7429,0.6898,0.9811,0.7429,0.8455,70,YOLO26
P2,5,P2.5,novice,diamond keratome straight,0.7,0.55,0.5255,0.875,0.7,0.7778,20,YOLO26
P2,5,P2.5,novice,forceps,0.6402,0.4972,0.4732,0.9487,0.6435,0.7668,115,YOLO26
P2,5,P2.5,novice,viscoelastic cannula,0.6071,0.5805,0.4914,0.9808,0.6071,0.75,84,YOLO26
P2,5,P2.5,novice,OVERALL,0.8319,0.7773,0.6948,0.9852,0.8323,0.9023,558,YOLO26
P3,1,P3.1,novice,capsulorhexis forceps,0.9208,0.8137,0.7225,0.963,0.9256,0.9439,309,YOLO26
P3,1,P3.1,novice,cystotome needle,0.4927,0.4475,0.4037,0.949,0.4947,0.6503,188,YOLO26
P3,1,P3.1,novice,diamond keratome iso,0.93,0.9022,0.81,1.0,0.93,0.9637,100,YOLO26
P3,1,P3.1,novice,diamond keratome straight,0.6923,0.3923,0.3511,1.0,0.6923,0.8182,13,YOLO26
P3,1,P3.1,novice,forceps,0.9592,0.9152,0.9082,1.0,0.9592,0.9792,49,YOLO26
P3,1,P3.1,novice,viscoelastic cannula,0.9792,0.8052,0.7163,1.0,0.9792,0.9895,48,YOLO26
P3,1,P3.1,novice,OVERALL,0.8101,0.7247,0.6508,0.9729,0.8133,0.886,696,YOLO26
P3,2,P3.2,novice,capsulorhexis forceps,0.9699,0.7935,0.6872,0.9912,0.97,0.9805,233,YOLO26
P3,2,P3.2,novice,cystotome needle,0.4703,0.4597,0.3967,0.9794,0.4703,0.6355,202,YOLO26
P3,2,P3.2,novice,diamond keratome iso,0.717,0.6961,0.5393,1.0,0.717,0.8352,53,YOLO26
P3,2,P3.2,novice,diamond keratome straight,0.881,0.5433,0.5156,0.9737,0.881,0.925,42,YOLO26
P3,2,P3.2,novice,forceps,0.9016,0.8922,0.7371,0.9043,0.9123,0.9083,114,YOLO26
P3,2,P3.2,novice,viscoelastic cannula,0.9762,0.8116,0.719,1.0,0.9762,0.988,42,YOLO26
P3,2,P3.2,novice,OVERALL,0.7883,0.6893,0.5873,0.9731,0.7901,0.8721,603,YOLO26
P3,3,P3.3,novice,capsulorhexis forceps,0.1406,0.0015,0.0289,0.4125,0.3183,0.3593,311,YOLO26
P3,3,P3.3,novice,cystotome needle,0.1057,0.0,0.0217,0.4681,0.2157,0.2953,102,YOLO26
P3,3,P3.3,novice,diamond keratome iso,0.0573,0.0005,0.0112,0.25,0.1731,0.2045,52,YOLO26
P3,3,P3.3,novice,diamond keratome straight,0.4777,0.0625,0.1065,0.6429,0.5625,0.6,16,YOLO26
P3,3,P3.3,novice,forceps,0.2508,0.2508,0.1921,0.5882,0.2703,0.3704,37,YOLO26
P3,3,P3.3,novice,viscoelastic cannula,0.2209,0.0278,0.0759,0.4839,0.3947,0.4348,38,YOLO26
P3,3,P3.3,novice,OVERALL,0.1319,0.0036,0.0289,0.426,0.295,0.3486,540,YOLO26
P3,4,P3.4,novice,capsulorhexis forceps,0.9547,0.4779,0.493,0.9745,0.9606,0.9675,279,YOLO26
P3,4,P3.4,novice,cystotome needle,0.4657,0.3866,0.323,0.9524,0.4688,0.6283,128,YOLO26
P3,4,P3.4,novice,diamond keratome iso,0.9583,0.9361,0.6801,1.0,0.9583,0.9787,48,YOLO26
P3,4,P3.4,novice,diamond keratome straight,1.0,0.0,0.2918,0.9412,1.0,0.9697,16,YOLO26
P3,4,P3.4,novice,forceps,0.9785,0.8967,0.8035,0.9259,0.9804,0.9524,51,YOLO26
P3,4,P3.4,novice,viscoelastic cannula,0.9677,0.6865,0.5911,1.0,0.9677,0.9836,31,YOLO26
P3,4,P3.4,novice,OVERALL,0.8462,0.5433,0.4977,0.9691,0.8499,0.9056,537,YOLO26
P3,5,P3.5,novice,capsulorhexis forceps,0.9498,0.4027,0.4665,0.9796,0.9505,0.9648,202,YOLO26
P3,5,P3.5,novice,cystotome needle,0.3191,0.2263,0.225,0.95,0.3193,0.478,119,YOLO26
P3,5,P3.5,novice,diamond keratome iso,0.8862,0.2339,0.3589,0.9756,0.8889,0.9302,45,YOLO26
P3,5,P3.5,novice,diamond keratome straight,0.8141,0.3962,0.4565,0.8462,0.8462,0.8462,13,YOLO26
P3,5,P3.5,novice,forceps,0.78,0.7133,0.702,0.85,0.7907,0.8193,43,YOLO26
P3,5,P3.5,novice,viscoelastic cannula,0.9714,0.8701,0.7661,1.0,0.9714,0.9855,35,YOLO26
P3,5,P3.5,novice,OVERALL,0.7607,0.4026,0.4232,0.9588,0.7637,0.8502,444,YOLO26
P4,1,P4.1,novice,capsulorhexis forceps,0.8592,0.7332,0.6271,0.838,0.8623,0.85,276,YOLO26
P4,1,P4.1,novice,cystotome needle,0.1454,0.1084,0.0955,0.6143,0.1519,0.2436,283,YOLO26
P4,1,P4.1,novice,diamond keratome iso,0.7623,0.7479,0.6495,0.4521,0.825,0.5841,40,YOLO26
