method,tool,metric,criterion,spearman_rho,p_value,significant
SAM3_simultaneous,diamond keratome straight,usage_time,(5),-0.09904246817527897,0.6376262219804891,False
SAM3_simultaneous,diamond keratome straight,usage_time,(6),0.13669392501428276,0.5146929179796211,False
SAM3_simultaneous,diamond keratome straight,usage_time,(7),0.12577873719862173,0.5491170348080964,False
SAM3_simultaneous,diamond keratome straight,usage_time,(14),-0.20764475289209405,0.31925931165506144,False
SAM3_simultaneous,diamond keratome straight,usage_time,(15),-0.0278057477705165,0.895034827610632,False
SAM3_simultaneous,diamond keratome straight,usage_time,(16),-0.20340072246763166,0.329470103569107,False
SAM3_simultaneous,diamond keratome straight,usage_time,(17),0.22082836809990058,0.28879002932497266,False
SAM3_simultaneous,forceps,path_length,(4),-0.011556254088025604,0.9562781039242625,False
SAM3_simultaneous,forceps,path_length,(5),-0.15362746694975674,0.4634479164231439,False
SAM3_simultaneous,forceps,path_length,(6),0.05932330259624495,0.7781897896600711,False
SAM3_simultaneous,forceps,path_length,(7),0.1746143121000051,0.40382176088216415,False
SAM3_simultaneous,forceps,path_length,(14),0.23924144130243663,0.2494079650413989,False
SAM3_simultaneous,forceps,path_length,(15),0.33151177848293545,0.10547826521716876,False
SAM3_simultaneous,forceps,path_length,(16),-0.11114962041576809,0.5968473459886295,False
SAM3_simultaneous,forceps,path_length,(17),0.026431391463863866,0.9001969547951959,False
SAM3_simultaneous,forceps,usage_time,(4),-0.20801257358446093,0.3183835663684244,False
SAM3_simultaneous,forceps,usage_time,(5),-0.4574684571392756,0.021487951155854584,True
SAM3_simultaneous,forceps,usage_time,(6),-0.07870224811101828,0.7084446179722543,False
SAM3_simultaneous,forceps,usage_time,(7),-0.11587309190046423,0.5812445692321606,False
SAM3_simultaneous,forceps,usage_time,(14),-0.2150672190105528,0.30187189502302064,False
SAM3_simultaneous,forceps,usage_time,(15),-0.030432537804431038,0.8851802186621199,False
SAM3_simultaneous,forceps,usage_time,(16),0.07726254102071684,0.7135560498084824,False
SAM3_simultaneous,forceps,usage_time,(17),0.1784118923810811,0.39351194326994365,False
SAM3_simultaneous,viscoelastic cannula,path_length,(4),-0.28890635220064015,0.16131730964054208,False
SAM3_simultaneous,viscoelastic cannula,path_length,(5),-0.4574684571392756,0.021487951155854584,True
SAM3_simultaneous,viscoelastic cannula,path_length,(6),-0.1605684056938363,0.4432391727072002,False
SAM3_simultaneous,viscoelastic cannula,path_length,(7),-0.15650914149055756,0.4550002763260623,False
SAM3_simultaneous,viscoelastic cannula,path_length,(14),-0.15546525715297713,0.4580510405334595,False
SAM3_simultaneous,viscoelastic cannula,path_length,(15),-0.22317194389916092,0.28357211503582336,False
SAM3_simultaneous,viscoelastic cannula,path_length,(16),-0.013103004032753147,0.9504327502015215,False
SAM3_simultaneous,viscoelastic cannula,path_length,(17),0.058644649810447945,0.7806662970126295,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(4),-0.2889619271462731,0.16123308488813298,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(5),-0.22194902775986353,0.2862874266486975,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(6),-0.2559304006498947,0.2168933419721812,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(7),-0.24587527141725857,0.23612346332922352,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(14),-0.2530444072586333,0.22230156786997532,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(15),-0.21103951720303613,0.31123254576956094,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(16),0.03615317122295685,0.8637779639232702,False
SAM3_simultaneous,viscoelastic cannula,usage_time,(17),0.054525231524092936,0.7957424490547464,False
SAM3_simultaneous,ALL_TOOLS,total_path_length,(4),-0.34668762264076824,0.08954348972847302,False
SAM3_simultaneous,ALL_TOOLS,total_path_length,(5),-0.43357085116931343,0.030369683795327257,True
SAM3_simultaneous,ALL_TOOLS,total_path_length,(6),-0.7019924140555652,9.187821270435426e-05,True
SAM3_simultaneous,ALL_TOOLS,total_path_length,(7),-0.5898262247433352,0.0019144233358011915,True
SAM3_simultaneous,ALL_TOOLS,total_path_length,(14),-0.6439512662234576,0.0005136264764476043,True
SAM3_simultaneous,ALL_TOOLS,total_path_length,(15),-0.4418804489203387,0.026998102445690807,True
SAM3_simultaneous,ALL_TOOLS,total_path_length,(16),-0.46312341839903365,0.019730667946467884,True
SAM3_simultaneous,ALL_TOOLS,total_path_length,(17),-0.5744697738474162,0.002670193480361213,True
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(4),-0.42758140125694744,0.033002782884426915,True
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(5),-0.3277385961594811,0.10974694258635373,False
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(6),-0.6501833964548447,0.0004343257598404144,True
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(7),-0.5745374140064685,0.0026663766328101505,True
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(14),-0.6618735344743368,0.00031387240388265413,True
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(15),-0.4499957923348536,0.024002793532365018,True
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(16),-0.3723060456202963,0.06683948655548991,False
SAM3_simultaneous,ALL_TOOLS,total_usage_time,(17),-0.4055566627736612,0.044288975603679594,True
SAM3_sequential,capsulorhexis forceps,path_length,(4),0.15309310892394862,0.4650232961601233,False
SAM3_sequential,capsulorhexis forceps,path_length,(5),0.12562972690740148,0.5495942005062286,False
SAM3_sequential,capsulorhexis forceps,path_length,(6),0.24741102165623058,0.23311596008241672,False
SAM3_sequential,capsulorhexis forceps,path_length,(7),0.2220840795370942,0.28598676131979495,False
SAM3_sequential,capsulorhexis forceps,path_length,(14),0.21472796736775718,0.3026535221461688,False
SAM3_sequential,capsulorhexis forceps,path_length,(15),-0.0447954827407028,0.8316257480613787,False
SAM3_sequential,capsulorhexis forceps,path_length,(16),0.14964129083767916,0.4752664501352701,False
SAM3_sequential,capsulorhexis forceps,path_length,(17),0.24316221747202577,0.24149882689642757,False
SAM3_sequential,capsulorhexis forceps,usage_time,(4),0.15309310892394862,0.4650232961601233,False
SAM3_sequential,capsulorhexis forceps,usage_time,(5),0.12562972690740148,0.5495942005062286,False
SAM3_sequential,capsulorhexis forceps,usage_time,(6),0.24741102165623058,0.23311596008241672,False
SAM3_sequential,capsulorhexis forceps,usage_time,(7),0.2220840795370942,0.28598676131979495,False
SAM3_sequential,capsulorhexis forceps,usage_time,(14),0.21472796736775718,0.3026535221461688,False
SAM3_sequential,capsulorhexis forceps,usage_time,(15),-0.0447954827407028,0.8316257480613787,False
SAM3_sequential,capsulorhexis forceps,usage_time,(16),0.14964129083767916,0.4752664501352701,False
SAM3_sequential,capsulorhexis forceps,usage_time,(17),0.24316221747202577,0.24149882689642757,False
SAM3_sequential,cystotome needle,path_length,(4),-0.36980013081681934,0.06884199120916286,False
SAM3_sequential,cystotome needle,path_length,(5),-0.3345664835794702,0.10211343018213281,False
SAM3_sequential,cystotome needle,path_length,(6),-0.6268495641003216,0.0007990265740295741,True
SAM3_sequential,cystotome needle,path_length,(7),-0.6574188616852726,0.00035580164192684983,True
SAM3_sequential,cystotome needle,path_length,(14),-0.7139731514827072,6.122970092892474e-05,True
SAM3_sequential,cystotome needle,path_length,(15),-0.5189762113582307,0.007854383463755962,True
SAM3_sequential,cystotome needle,path_length,(16),-0.34745552073059205,0.08878825929629573,False
SAM3_sequential,cystotome needle,path_length,(17),-0.5364746486181119,0.005698511145726268,True
SAM3_sequential,cystotome needle,usage_time,(4),-0.4738975605198879,0.016706427236381927,True
SAM3_sequential,cystotome needle,usage_time,(5),-0.2492658311764621,0.22951756571423668,False
SAM3_sequential,cystotome needle,usage_time,(6),-0.6455616906655768,0.0004920173133173167,True
SAM3_sequential,cystotome needle,usage_time,(7),-0.5323944093044732,0.00615045526854184,True
SAM3_sequential,cystotome needle,usage_time,(14),-0.5606997162485368,0.0035507552413700538,True
SAM3_sequential,cystotome needle,usage_time,(15),-0.29180271705573646,0.15696899627478184,False
SAM3_sequential,cystotome needle,usage_time,(16),-0.24810113751754145,0.23177277788007214,False
SAM3_sequential,cystotome needle,usage_time,(17),-0.38580732002653634,0.056809638534324025,False
SAM3_sequential,diamond keratome iso,path_length,(4),-0.323575114464717,0.11460348844958426,False
SAM3_sequential,diamond keratome iso,path_length,(5),0.08534859274986484,0.6850094402209758,False
SAM3_sequential,diamond keratome iso,path_length,(6),-0.2883112506177504,0.1622211394992751,False
SAM3_sequential,diamond keratome iso,path_length,(7),-0.09414688716912718,0.6544194327541759,False
SAM3_sequential,diamond keratome iso,path_length,(14),-0.21173284352201707,0.30960862058186367,False
SAM3_sequential,diamond keratome iso,path_length,(15),-0.004869206048708966,0.9815707786486693,False
SAM3_sequential,diamond keratome iso,path_length,(16),-0.20738892589771363,0.31986927711243585,False
SAM3_sequential,diamond keratome iso,path_length,(17),-0.2874413821695196,0.1635486847445355,False
SAM3_sequential,diamond keratome iso,usage_time,(4),-0.4393066519474748,0.02800850433606103,True
SAM3_sequential,diamond keratome iso,usage_time,(5),-0.054644120372567696,0.7953063160320716,False
SAM3_sequential,diamond keratome iso,usage_time,(6),-0.43045728050807414,0.0317166288893933,True
SAM3_sequential,diamond keratome iso,usage_time,(7),-0.2986490336044075,0.14702158463471438,False
SAM3_sequential,diamond keratome iso,usage_time,(14),-0.36817332691509846,0.0701663893933018,False
SAM3_sequential,diamond keratome iso,usage_time,(15),-0.16236933004681167,0.4380736919307618,False
SAM3_sequential,diamond keratome iso,usage_time,(16),-0.38284535984463114,0.058903067102855894,False
SAM3_sequential,diamond keratome iso,usage_time,(17),-0.4714034948587214,0.01737030417680575,True
SAM3_sequential,diamond keratome straight,path_length,(4),0.09245003270420483,0.6602789385659686,False
SAM3_sequential,diamond keratome straight,path_length,(5),-0.1263159172698,0.5473984437190899,False
SAM3_sequential,diamond keratome straight,path_length,(6),0.15740449622203656,0.4523921235485614,False
SAM3_sequential,diamond keratome straight,path_length,(7),0.11426374340184665,0.5865406175090038,False
SAM3_sequential,diamond keratome straight,path_length,(14),-0.15921642957757978,0.44713819733687316,False
SAM3_sequential,diamond keratome straight,path_length,(15),-0.07182078921845725,0.732983010504304,False
SAM3_sequential,diamond keratome straight,path_length,(16),-0.20784075362298093,0.318792470111112,False
SAM3_sequential,diamond keratome straight,path_length,(17),0.16643516812401776,0.4265315866822826,False
SAM3_sequential,diamond keratome straight,usage_time,(4),0.2542864958887204,0.21996301448507394,False
SAM3_sequential,diamond keratome straight,usage_time,(5),-0.06487740811442165,0.758002950971247,False
SAM3_sequential,diamond keratome straight,usage_time,(6),0.15624808076771007,0.4557622264305682,False
SAM3_sequential,diamond keratome straight,usage_time,(7),0.1342052422547557,0.5224484884933553,False
SAM3_sequential,diamond keratome straight,usage_time,(14),-0.17279556311153788,0.4088122721743488,False
SAM3_sequential,diamond keratome straight,usage_time,(15),-0.0032467618031236326,0.9877109226980549,False
SAM3_sequential,diamond keratome straight,usage_time,(16),-0.16178544122273195,0.43974487513907345,False
SAM3_sequential,diamond keratome straight,usage_time,(17),0.2505269160557755,0.22709218607012388,False
SAM3_sequential,forceps,path_length,(4),-0.2195688276724865,0.29161913755955604,False
SAM3_sequential,forceps,path_length,(5),-0.21166451001966483,0.3097684404941511,False
SAM3_sequential,forceps,path_length,(6),0.012260149203223955,0.9536177100213844,False
SAM3_sequential,forceps,path_length,(7),0.20157089945184922,0.33393269049322705,False
SAM3_sequential,forceps,path_length,(14),0.13879337971029862,0.508194031915966,False
SAM3_sequential,forceps,path_length,(15),0.36640775516534974,0.0716257306606434,False
SAM3_sequential,forceps,path_length,(16),-0.046086427977269695,0.8268442244884543,False
SAM3_sequential,forceps,path_length,(17),0.10861649929681556,0.6052873755522635,False
SAM3_sequential,forceps,usage_time,(4),-0.19071487191654027,0.36114997614271754,False
SAM3_sequential,forceps,usage_time,(5),-0.4165812521031284,0.03831120041942793,True
