participant,trial,video_id,skill_level,tool,path_length,usage_time,num_detections,method
P2,5,P2.5,novice,cystotome needle,3257.4314065022654,29.0,435,SAM3_simultaneous
P2,5,P2.5,novice,diamond keratome iso,2999.615433375144,15.933333333333334,239,SAM3_simultaneous
P2,5,P2.5,novice,diamond keratome straight,283.36962365186577,4.8,72,SAM3_simultaneous
P2,5,P2.5,novice,forceps,7858.837864202602,56.733333333333334,851,SAM3_simultaneous
P2,5,P2.5,novice,viscoelastic cannula,8294.423713259952,79.33333333333333,1190,SAM3_simultaneous
P3,1,P3.1,novice,capsulorhexis forceps,14633.472377082566,77.86666666666666,1168,SAM3_simultaneous
P3,1,P3.1,novice,cystotome needle,6998.921027359937,42.0,630,SAM3_simultaneous
P3,1,P3.1,novice,diamond keratome iso,3434.839198160966,22.666666666666668,340,SAM3_simultaneous
P3,1,P3.1,novice,diamond keratome straight,359.0832285970295,11.333333333333334,170,SAM3_simultaneous
P3,1,P3.1,novice,forceps,1586.5363975149182,11.6,174,SAM3_simultaneous
P3,1,P3.1,novice,viscoelastic cannula,722.5356824731674,11.2,168,SAM3_simultaneous
P3,2,P3.2,novice,capsulorhexis forceps,7734.896501713482,57.06666666666667,856,SAM3_simultaneous
P3,2,P3.2,novice,cystotome needle,5107.099950965565,45.93333333333333,689,SAM3_simultaneous
P3,2,P3.2,novice,diamond keratome iso,6690.298428181244,12.066666666666666,181,SAM3_simultaneous
P3,2,P3.2,novice,diamond keratome straight,596.4240237492623,10.333333333333334,155,SAM3_simultaneous
P3,2,P3.2,novice,forceps,4290.263739975881,51.266666666666666,769,SAM3_simultaneous
P3,2,P3.2,novice,viscoelastic cannula,884.4678906480107,9.866666666666667,148,SAM3_simultaneous
P3,3,P3.3,novice,capsulorhexis forceps,13995.651309871848,76.6,1149,SAM3_simultaneous
P3,3,P3.3,novice,cystotome needle,2501.682900160586,23.866666666666667,358,SAM3_simultaneous
P3,3,P3.3,novice,diamond keratome iso,2945.5551958267856,10.733333333333333,161,SAM3_simultaneous
P3,3,P3.3,novice,diamond keratome straight,132.85287024353119,2.6666666666666665,40,SAM3_simultaneous
P3,3,P3.3,novice,forceps,1445.2004788688105,8.066666666666666,121,SAM3_simultaneous
P3,3,P3.3,novice,viscoelastic cannula,1175.8682367443932,8.2,123,SAM3_simultaneous
P3,4,P3.4,novice,capsulorhexis forceps,7370.428689752226,64.2,963,SAM3_simultaneous
P3,4,P3.4,novice,cystotome needle,1315.0934826021937,28.666666666666668,430,SAM3_simultaneous
P3,4,P3.4,novice,diamond keratome iso,2417.7353753528646,10.866666666666667,163,SAM3_simultaneous
P3,4,P3.4,novice,diamond keratome straight,252.44644804302683,3.8666666666666667,58,SAM3_simultaneous
P3,4,P3.4,novice,forceps,1844.2344105753623,12.2,183,SAM3_simultaneous
P3,4,P3.4,novice,viscoelastic cannula,991.1061990401886,7.6,114,SAM3_simultaneous
P3,5,P3.5,novice,capsulorhexis forceps,5571.208424262428,46.2,693,SAM3_simultaneous
P3,5,P3.5,novice,cystotome needle,3415.5347853186827,27.266666666666666,409,SAM3_simultaneous
P3,5,P3.5,novice,diamond keratome iso,2314.3129221898375,10.2,153,SAM3_simultaneous
P3,5,P3.5,novice,diamond keratome straight,207.61800492210241,3.066666666666667,46,SAM3_simultaneous
P3,5,P3.5,novice,forceps,4632.6209073930795,10.466666666666667,157,SAM3_simultaneous
P3,5,P3.5,novice,viscoelastic cannula,795.558347449014,8.666666666666666,130,SAM3_simultaneous
P4,1,P4.1,novice,capsulorhexis forceps,10163.275948075909,69.33333333333333,1040,SAM3_simultaneous
P4,1,P4.1,novice,cystotome needle,6955.829269161322,63.266666666666666,949,SAM3_simultaneous
P4,1,P4.1,novice,diamond keratome iso,787.229692080574,9.0,135,SAM3_simultaneous
P4,1,P4.1,novice,diamond keratome straight,1593.7935664963807,7.8,117,SAM3_simultaneous
P4,1,P4.1,novice,forceps,3854.8732047284716,51.0,765,SAM3_simultaneous
P4,1,P4.1,novice,viscoelastic cannula,2594.8234769233495,19.4,291,SAM3_simultaneous
P4,2,P4.2,novice,capsulorhexis forceps,10874.95362042146,88.93333333333334,1334,SAM3_simultaneous
P4,2,P4.2,novice,cystotome needle,5393.471566020858,38.8,582,SAM3_simultaneous
P4,2,P4.2,novice,diamond keratome iso,553.354078296735,6.066666666666666,91,SAM3_simultaneous
P4,2,P4.2,novice,diamond keratome straight,858.3477019438023,8.733333333333333,131,SAM3_simultaneous
P4,2,P4.2,novice,forceps,5711.007821430406,37.266666666666666,559,SAM3_simultaneous
P4,2,P4.2,novice,viscoelastic cannula,294.1703041905124,9.066666666666666,136,SAM3_simultaneous
P4,3,P4.3,novice,capsulorhexis forceps,10821.88236265291,78.53333333333333,1178,SAM3_simultaneous
P4,3,P4.3,novice,cystotome needle,4531.085535762086,28.533333333333335,428,SAM3_simultaneous
P4,3,P4.3,novice,diamond keratome iso,1051.8994701065124,7.866666666666666,118,SAM3_simultaneous
P4,3,P4.3,novice,diamond keratome straight,2210.3467420643938,8.333333333333334,125,SAM3_simultaneous
P4,3,P4.3,novice,forceps,3087.553249250369,42.13333333333333,632,SAM3_simultaneous
P4,3,P4.3,novice,viscoelastic cannula,1872.218414034314,12.0,180,SAM3_simultaneous
P4,4,P4.4,novice,capsulorhexis forceps,10347.183309459286,65.26666666666667,979,SAM3_simultaneous
P4,4,P4.4,novice,cystotome needle,4085.1225315298366,21.2,318,SAM3_simultaneous
P4,4,P4.4,novice,diamond keratome iso,1762.5323010769284,12.333333333333334,185,SAM3_simultaneous
P4,4,P4.4,novice,diamond keratome straight,484.42172102065877,6.133333333333334,92,SAM3_simultaneous
P4,4,P4.4,novice,forceps,4034.292913584364,39.06666666666667,586,SAM3_simultaneous
P4,4,P4.4,novice,viscoelastic cannula,1550.284891053119,8.133333333333333,122,SAM3_simultaneous
P4,5,P4.5,novice,capsulorhexis forceps,7029.180178235613,55.53333333333333,833,SAM3_simultaneous
P4,5,P4.5,novice,cystotome needle,2960.827798933324,19.266666666666666,289,SAM3_simultaneous
