method,tool,metric,expert_mean,expert_std,novice_mean,novice_std,U_stat,p_value,significant
SAM3_simultaneous,ALL_TOOLS,total_path_length,19004.158415442675,4755.568420121985,24790.812796642585,14605.291042727533,38.0,0.4466779597214379,False
SAM3_simultaneous,ALL_TOOLS,total_usage_time,158.29333333333335,28.379635891486227,208.83333333333331,141.9869970572423,45.0,0.7671372106154712,False
SAM3_simultaneous,capsulorhexis forceps,path_length,5752.083089437241,3007.195332533624,9975.287514982294,5250.793457765497,25.0,0.09696969696969696,False
SAM3_simultaneous,capsulorhexis forceps,usage_time,51.74666666666667,10.608206466903088,76.28666666666666,39.379391677486446,24.0,0.08322981366459627,False
SAM3_simultaneous,cystotome needle,path_length,3282.79845462717,2179.254860662066,4148.946416387065,2787.722232142574,38.0,0.4466779597214379,False
SAM3_simultaneous,cystotome needle,usage_time,27.639999999999997,12.66783152538569,34.78999999999999,23.107836813994993,41.5,0.586718463704801,False
SAM3_simultaneous,diamond keratome iso,path_length,639.5305566184035,345.5042456632735,3623.2459764301143,6133.5462147491235,18.0,0.028947863730472423,True
SAM3_simultaneous,diamond keratome iso,usage_time,7.840000000000001,2.621822945119589,22.31666666666667,38.36659933385346,31.0,0.20864097641866797,False
SAM3_simultaneous,diamond keratome straight,path_length,1746.587966930474,805.5200524386158,708.7120737365561,577.8074346376436,87.0,0.009561453039713909,True
SAM3_simultaneous,diamond keratome straight,usage_time,12.933333333333332,3.3263927742960377,6.3533333333333335,2.9750144724204475,95.0,0.0024917366844395424,True
SAM3_simultaneous,forceps,path_length,6174.3206644192915,2577.3072834176114,3792.9809051741904,2179.481826261571,75.0,0.09696969696969696,False
SAM3_simultaneous,forceps,usage_time,47.81333333333333,7.7488809227885005,35.98,19.501112218993505,64.0,0.3706004140786749,False
SAM3_simultaneous,viscoelastic cannula,path_length,1408.837683410093,458.8324305815261,2541.6399099323658,2826.6049463385575,45.0,0.7671372106154712,False
SAM3_simultaneous,viscoelastic cannula,usage_time,10.32,3.71528972999116,33.10666666666667,54.556932139229055,32.0,0.23439261264936195,False
SAM3_sequential,ALL_TOOLS,total_path_length,13686.5836400054,4175.676732423935,14112.836376345407,8374.889752642084,54.0,0.8179559570863917,False
SAM3_sequential,ALL_TOOLS,total_usage_time,107.18666666666665,23.574653055064598,137.32999999999998,116.20284271718809,50.5,1.0,False
SAM3_sequential,capsulorhexis forceps,path_length,0.0,0.0,311.4033832936316,1357.3758784536021,47.5,0.6891565167793516,False
SAM3_sequential,capsulorhexis forceps,usage_time,0.0,0.0,2.41,10.504946453933025,47.5,0.6891565167793516,False
SAM3_sequential,cystotome needle,path_length,3267.0277940260335,2132.738929055139,3700.7675845501058,2001.975303541364,44.0,0.7172971955580649,False
SAM3_sequential,cystotome needle,usage_time,28.626666666666665,14.356762247185895,34.35999999999999,22.943703081915764,42.5,0.634325291201211,False
SAM3_sequential,diamond keratome iso,path_length,640.9064659178384,346.90982984898363,3013.194485307272,4372.545137974904,18.0,0.028947863730472423,True
SAM3_sequential,diamond keratome iso,usage_time,7.840000000000001,2.621822945119589,23.746666666666666,45.373441081270826,35.5,0.3413614096663111,False
SAM3_sequential,diamond keratome straight,path_length,1768.7151465753855,829.7894276150924,690.1093362266374,468.18611311719496,86.0,0.01219649915302089,True
SAM3_sequential,diamond keratome straight,usage_time,12.919999999999998,3.331306050185122,6.233333333333333,2.813815124622717,97.0,0.0015795301509307859,True
SAM3_sequential,forceps,path_length,6574.837164430658,3327.3583330759593,3806.1193312620003,2295.3229146645926,76.0,0.08322981366459627,False
SAM3_sequential,forceps,usage_time,47.48,6.983205249422042,36.15666666666667,19.916986329373337,64.0,0.3589745492121641,False
SAM3_sequential,viscoelastic cannula,path_length,1435.0970690554836,511.97899350438576,2591.24225570576,2448.193414789559,39.0,0.4875964615095049,False
SAM3_sequential,viscoelastic cannula,usage_time,10.32,3.71528972999116,34.42333333333333,58.206949852325295,30.5,0.19668837886378665,False
YOLO26,ALL_TOOLS,total_path_length,8344.151737846125,2865.515330540741,20142.493974097713,7547.194896011661,3.0,0.00026350461133069827,True
YOLO26,ALL_TOOLS,total_usage_time,19.813333333333336,7.580489576684492,117.4,39.70738526325354,0.0,3.764351590438547e-05,True
YOLO26,capsulorhexis forceps,path_length,4588.696093533076,1473.310201387697,9848.31393685081,4227.164030475988,9.0,0.003124411820063994,True
YOLO26,capsulorhexis forceps,usage_time,12.56,6.370431696517906,62.56666666666665,22.57540943396401,0.0,3.764351590438547e-05,True
YOLO26,cystotome needle,path_length,0.0,0.0,3813.1046983580914,2887.6701927241643,0.0,0.0007358214883386219,True
YOLO26,cystotome needle,usage_time,0.0,0.0,18.793333333333337,12.909323073741017,0.0,0.0007323278468862075,True
YOLO26,diamond keratome iso,path_length,4.301162633521313,8.602325267042627,1978.439372015558,1393.2878393767783,1.0,0.0009624447130617325,True
YOLO26,diamond keratome iso,usage_time,0.04,0.05333333333333333,10.136666666666667,5.5727302305263455,0.0,0.0007641819637736588,True
YOLO26,diamond keratome straight,path_length,40.27815608235378,68.68187013906939,258.29426476911374,218.80029180423867,14.5,0.01666804407872767,True
YOLO26,diamond keratome straight,usage_time,0.12000000000000002,0.16,2.6700000000000004,2.3376602737685293,9.0,0.0058190949520743815,True
YOLO26,forceps,path_length,3544.053544256213,2433.96288362446,2737.253678931716,2059.789948990625,63.0,0.4076039902126858,False
YOLO26,forceps,usage_time,6.253333333333334,5.083201091176045,12.443333333333335,5.789311031739634,23.0,0.07095802747976661,False
YOLO26,viscoelastic cannula,path_length,166.82278134096012,146.88896095011404,1507.0880231724257,979.3237508032815,0.0,0.0007695813667330774,True
YOLO26,viscoelastic cannula,usage_time,0.8399999999999999,0.7310266752998826,10.790000000000001,4.966522369268506,0.0,0.0007695813667330774,True
