comparison,group_a,group_b,n_a,n_b,mean_a,std_a,mean_b,std_b,t_stat,p_value,significant
SAM3_simultaneous vs YOLO26,SAM3_simultaneous,YOLO26,25,25,67.81400000000001,17.97626524058877,57.63,29.826754969322426,1.4326257184906923,0.15985130151267707,False
SAM3_sequential vs YOLO26,SAM3_sequential,YOLO26,25,25,61.80799999999999,24.292503041061867,57.63,29.826754969322426,0.5320816304511846,0.5972240002383689,False
SAM3_simultaneous: Expert vs Novice,expert,novice,5,20,59.994,18.011268250736816,69.76899999999999,17.427595043493522,-0.9920572834905428,0.3614927765188976,False
SAM3_sequential: Expert vs Novice,expert,novice,5,20,57.804,17.796807129370144,62.809000000000005,25.562972029871638,-0.4696384517277241,0.6512794334407777,False
YOLO26: Expert vs Novice,expert,novice,5,20,9.959999999999999,6.161314794749575,69.5475,19.80958502215531,-10.853102058069531,6.997127993391495e-10,True
